participant_id,mode,timestamp,attention_score,action,low_streak
Anmol,adaptive,0.39,0.83,Continue,0
Anmol,adaptive,0.93,0.86,Continue,0
Anmol,adaptive,1.09,0.86,Continue,0
Anmol,adaptive,1.24,0.86,Continue,0
Anmol,adaptive,1.4,0.84,Continue,0
Anmol,adaptive,1.55,0.85,Continue,0
Anmol,adaptive,1.71,0.83,Continue,0
Anmol,adaptive,1.87,0.75,Continue,0
Anmol,adaptive,2.02,0.85,Continue,0
Anmol,adaptive,2.17,0.76,Continue,0
Anmol,adaptive,2.33,0.83,Continue,0
Anmol,adaptive,2.49,0.86,Continue,0
Anmol,adaptive,2.64,0.82,Continue,0
Anmol,adaptive,2.8,0.81,Continue,0
Anmol,adaptive,2.96,0.79,Continue,0
Anmol,adaptive,3.11,0.79,Continue,0
Anmol,adaptive,3.26,0.79,Continue,0
Anmol,adaptive,3.42,0.84,Continue,0
Anmol,adaptive,3.58,0.81,Continue,0
Anmol,adaptive,3.73,0.81,Continue,0
Anmol,adaptive,3.88,0.8,Continue,0
Anmol,adaptive,4.04,0.85,Continue,0
Anmol,adaptive,4.2,0.89,Continue,0
Anmol,adaptive,4.35,0.91,Continue,0
Anmol,adaptive,4.51,0.81,Continue,0
Anmol,adaptive,4.69,0.81,Continue,0
Anmol,adaptive,4.86,0.82,Continue,0
Anmol,adaptive,5.02,0.82,Continue,0
Anmol,adaptive,5.18,0.77,Continue,0
Anmol,adaptive,5.33,0.82,Continue,0
Anmol,adaptive,5.49,0.87,Continue,0
Anmol,adaptive,5.67,0.86,Continue,0
Anmol,adaptive,5.83,0.84,Continue,0
Anmol,adaptive,5.99,0.86,Continue,0
Anmol,adaptive,6.15,0.81,Continue,0
Anmol,adaptive,6.31,0.81,Continue,0
Anmol,adaptive,6.47,0.82,Continue,0
Anmol,adaptive,6.62,0.83,Continue,0
Anmol,adaptive,6.78,0.86,Continue,0
Anmol,adaptive,6.94,0.79,Continue,0
Anmol,adaptive,7.1,0.83,Continue,0
Anmol,adaptive,7.27,0.83,Continue,0
Anmol,adaptive,7.42,0.79,Continue,0
Anmol,adaptive,7.57,0.77,Continue,0
Anmol,adaptive,7.74,0.74,Continue,0
Anmol,adaptive,7.89,0.83,Continue,0
Anmol,adaptive,8.04,0.84,Continue,0
Anmol,adaptive,8.2,0.82,Continue,0
Anmol,adaptive,8.36,0.79,Continue,0
Anmol,adaptive,8.51,0.8,Continue,0
Anmol,adaptive,8.67,0.81,Continue,0
Anmol,adaptive,8.84,0.76,Continue,0
Anmol,adaptive,8.99,0.81,Continue,0
Anmol,adaptive,9.15,0.81,Continue,0
Anmol,adaptive,9.31,0.82,Continue,0
Anmol,adaptive,9.46,0.81,Continue,0
Anmol,adaptive,9.62,0.85,Continue,0
Anmol,adaptive,9.8,0.83,Continue,0
Anmol,adaptive,9.96,0.79,Continue,0
Anmol,adaptive,10.11,0.82,Continue,0
Anmol,adaptive,10.27,0.82,Continue,0
Anmol,adaptive,10.42,0.84,Continue,0
Anmol,adaptive,10.58,0.82,Continue,0
Anmol,adaptive,10.74,0.85,Continue,0
Anmol,adaptive,10.9,0.84,Continue,0
Anmol,adaptive,11.05,0.78,Continue,0
Anmol,adaptive,11.22,0.85,Continue,0
Anmol,adaptive,11.39,0.85,Continue,0
Anmol,adaptive,11.54,0.84,Continue,0
Anmol,adaptive,11.7,0.83,Continue,0
Anmol,adaptive,11.86,0.85,Continue,0
Anmol,adaptive,12.03,0.78,Continue,0
Anmol,adaptive,12.18,0.82,Continue,0
Anmol,adaptive,12.33,0.85,Continue,0
Anmol,adaptive,12.49,0.87,Continue,0
Anmol,adaptive,12.65,0.82,Continue,0
Anmol,adaptive,12.81,0.81,Continue,0
Anmol,adaptive,12.97,0.85,Continue,0
Anmol,adaptive,13.12,0.85,Continue,0
Anmol,adaptive,13.27,0.8,Continue,0
Anmol,adaptive,13.44,0.83,Continue,0
Anmol,adaptive,13.61,0.85,Continue,0
Anmol,adaptive,13.77,0.84,Continue,0
Anmol,adaptive,13.93,0.83,Continue,0
Anmol,adaptive,14.08,0.84,Continue,0
Anmol,adaptive,14.24,0.84,Continue,0
Anmol,adaptive,14.4,0.83,Continue,0
Anmol,adaptive,14.55,0.86,Continue,0
Anmol,adaptive,14.7,0.88,Continue,0
Anmol,adaptive,14.87,0.83,Continue,0
Anmol,adaptive,15.04,0.82,Continue,0
Anmol,adaptive,15.19,0.87,Continue,0
Anmol,adaptive,15.65,0.86,Continue,0
Anmol,adaptive,15.82,0.83,Continue,0
Anmol,adaptive,15.97,0.89,Continue,0
Anmol,adaptive,16.13,0.86,Continue,0
Anmol,adaptive,16.28,0.85,Continue,0
Anmol,adaptive,16.44,0.8,Continue,0
Anmol,adaptive,16.6,0.82,Continue,0
Anmol,adaptive,16.75,0.91,Continue,0
Anmol,adaptive,16.91,0.84,Continue,0
Anmol,adaptive,17.06,0.88,Continue,0
Anmol,adaptive,17.22,0.84,Continue,0
Anmol,adaptive,17.37,0.85,Continue,0
Anmol,adaptive,17.54,0.83,Continue,0
Anmol,adaptive,17.68,0.81,Continue,0
Anmol,adaptive,17.84,0.87,Continue,0
Anmol,adaptive,18.0,0.85,Continue,0
Anmol,adaptive,18.16,0.84,Continue,0
Anmol,adaptive,18.32,0.86,Continue,0
Anmol,adaptive,18.48,0.88,Continue,0
Anmol,adaptive,18.63,0.87,Continue,0
Anmol,adaptive,18.79,0.85,Continue,0
Anmol,adaptive,18.95,0.85,Continue,0
Anmol,adaptive,19.1,0.84,Continue,0
Anmol,adaptive,19.26,0.81,Continue,0
Anmol,adaptive,19.41,0.82,Continue,0
Anmol,adaptive,19.57,0.89,Continue,0
Anmol,adaptive,19.73,0.85,Continue,0
Anmol,adaptive,19.88,0.89,Continue,0
Anmol,adaptive,20.04,0.83,Continue,0
Anmol,adaptive,20.19,0.83,Continue,0
Anmol,adaptive,20.35,0.91,Continue,0
Anmol,adaptive,20.5,0.86,Continue,0
Anmol,adaptive,20.67,0.89,Continue,0
Anmol,adaptive,20.83,0.86,Continue,0
Anmol,adaptive,20.98,0.83,Continue,0
Anmol,adaptive,21.14,0.88,Continue,0
Anmol,adaptive,21.31,0.8,Continue,0
