participant_id,mode,timestamp,attention_score,action,low_streak
Anmol,baseline,3.18,0.78,Baseline,0
Anmol,baseline,3.73,0.86,Baseline,0
Anmol,baseline,3.94,0.87,Baseline,0
Anmol,baseline,4.1,0.83,Baseline,0
Anmol,baseline,4.25,0.83,Baseline,0
Anmol,baseline,4.41,0.84,Baseline,0
Anmol,baseline,4.58,0.85,Baseline,0
Anmol,baseline,4.73,0.91,Baseline,0
Anmol,baseline,4.89,0.85,Baseline,0
Anmol,baseline,5.27,0.89,Baseline,0
Anmol,baseline,5.42,0.89,Baseline,0
Anmol,baseline,5.59,0.88,Baseline,0
Anmol,baseline,5.75,0.86,Baseline,0
Anmol,baseline,5.91,0.92,Baseline,0
Anmol,baseline,6.07,0.9,Baseline,0
Anmol,baseline,6.22,0.86,Baseline,0
Anmol,baseline,6.37,0.9,Baseline,0
Anmol,baseline,6.54,0.87,Baseline,0
Anmol,baseline,6.69,0.85,Baseline,0
Anmol,baseline,6.85,0.87,Baseline,0
Anmol,baseline,7.0,0.83,Baseline,0
Anmol,baseline,7.16,0.81,Baseline,0
Anmol,baseline,7.31,0.88,Baseline,0
Anmol,baseline,7.47,0.81,Baseline,0
Anmol,baseline,7.63,0.9,Baseline,0
Anmol,baseline,7.79,0.88,Baseline,0
Anmol,baseline,7.96,0.82,Baseline,0
Anmol,baseline,8.11,0.85,Baseline,0
Anmol,baseline,8.27,0.89,Baseline,0
Anmol,baseline,8.43,0.81,Baseline,0
Anmol,baseline,8.58,0.86,Baseline,0
Anmol,baseline,8.74,0.86,Baseline,0
Anmol,baseline,8.89,0.87,Baseline,0
Anmol,baseline,9.04,0.85,Baseline,0
Anmol,baseline,9.2,0.86,Baseline,0
Anmol,baseline,9.35,0.84,Baseline,0
Anmol,baseline,9.51,0.86,Baseline,0
Anmol,baseline,9.66,0.85,Baseline,0
Anmol,baseline,9.83,0.87,Baseline,0
Anmol,baseline,10.0,0.88,Baseline,0
Anmol,baseline,10.15,0.85,Baseline,0
Anmol,baseline,10.31,0.87,Baseline,0
Anmol,baseline,10.46,0.87,Baseline,0
Anmol,baseline,10.61,0.84,Baseline,0
Anmol,baseline,10.77,0.89,Baseline,0
Anmol,baseline,10.93,0.84,Baseline,0
Anmol,baseline,11.1,0.86,Baseline,0
Anmol,baseline,11.26,0.83,Baseline,0
Anmol,baseline,11.41,0.91,Baseline,0
Anmol,baseline,11.56,0.84,Baseline,0
Anmol,baseline,11.73,0.88,Baseline,0
Anmol,baseline,11.89,0.88,Baseline,0
Anmol,baseline,12.05,0.84,Baseline,0
Anmol,baseline,12.21,0.86,Baseline,0
Anmol,baseline,12.38,0.86,Baseline,0
Anmol,baseline,12.53,0.86,Baseline,0
Anmol,baseline,12.69,0.85,Baseline,0
Anmol,baseline,12.84,0.85,Baseline,0
Anmol,baseline,12.99,0.85,Baseline,0
Anmol,baseline,13.16,0.82,Baseline,0
Anmol,baseline,13.32,0.84,Baseline,0
Anmol,baseline,13.48,0.86,Baseline,0
Anmol,baseline,13.63,0.85,Baseline,0
Anmol,baseline,13.79,0.85,Baseline,0
Anmol,baseline,13.95,0.85,Baseline,0
Anmol,baseline,14.12,0.84,Baseline,0
Anmol,baseline,14.28,0.85,Baseline,0
Anmol,baseline,14.43,0.86,Baseline,0
Anmol,baseline,14.58,0.86,Baseline,0
Anmol,baseline,14.75,0.87,Baseline,0
Anmol,baseline,14.92,0.85,Baseline,0
Anmol,baseline,15.07,0.86,Baseline,0
Anmol,baseline,15.22,0.87,Baseline,0
Anmol,baseline,15.38,0.85,Baseline,0
Anmol,baseline,15.55,0.87,Baseline,0
Anmol,baseline,15.71,0.85,Baseline,0
Anmol,baseline,15.88,0.87,Baseline,0
Anmol,baseline,16.04,0.86,Baseline,0
Anmol,baseline,16.2,0.82,Baseline,0
Anmol,baseline,16.36,0.86,Baseline,0
Anmol,baseline,16.51,0.83,Baseline,0
Anmol,baseline,16.67,0.86,Baseline,0
Anmol,baseline,16.82,0.88,Baseline,0
Anmol,baseline,16.98,0.82,Baseline,0
Anmol,baseline,17.13,0.86,Baseline,0
Anmol,baseline,17.29,0.85,Baseline,0
Anmol,baseline,17.44,0.86,Baseline,0
Anmol,baseline,17.59,0.85,Baseline,0
Anmol,baseline,17.76,0.86,Baseline,0
Anmol,baseline,17.91,0.89,Baseline,0
Anmol,baseline,18.06,0.82,Baseline,0
Anmol,baseline,18.23,0.87,Baseline,0
Anmol,baseline,18.4,0.85,Baseline,0
Anmol,baseline,18.55,0.81,Baseline,0
Anmol,baseline,18.71,0.83,Baseline,0
Anmol,baseline,18.86,0.84,Baseline,0
Anmol,baseline,19.02,0.84,Baseline,0
Anmol,baseline,19.18,0.84,Baseline,0
Anmol,baseline,19.33,0.84,Baseline,0
Anmol,baseline,19.78,0.85,Baseline,0
Anmol,baseline,19.94,0.85,Baseline,0
Anmol,baseline,20.09,0.85,Baseline,0
Anmol,baseline,20.24,0.85,Baseline,0
Anmol,baseline,20.41,0.86,Baseline,0
Anmol,baseline,20.57,0.85,Baseline,0
Anmol,baseline,20.73,0.83,Baseline,0
Anmol,baseline,20.89,0.84,Baseline,0
Anmol,baseline,21.05,0.78,Baseline,0
Anmol,baseline,21.2,0.88,Baseline,0
Anmol,baseline,21.35,0.86,Baseline,0
Anmol,baseline,21.51,0.83,Baseline,0
Anmol,baseline,21.66,0.81,Baseline,0
Anmol,baseline,21.82,0.82,Baseline,0
Anmol,baseline,21.98,0.82,Baseline,0
Anmol,baseline,22.13,0.86,Baseline,0
Anmol,baseline,22.28,0.86,Baseline,0
Anmol,baseline,22.45,0.87,Baseline,0
Anmol,baseline,22.6,0.85,Baseline,0
Anmol,baseline,22.75,0.84,Baseline,0
Anmol,baseline,22.89,0.81,Baseline,0
Anmol,baseline,23.05,0.85,Baseline,0
Anmol,baseline,23.21,0.83,Baseline,0
Anmol,baseline,23.36,0.84,Baseline,0
Anmol,baseline,23.51,0.84,Baseline,0
Anmol,baseline,23.68,0.82,Baseline,0
Anmol,baseline,23.85,0.84,Baseline,0
