participant_id,mode,timestamp,attention_score,action,low_streak
P001,adaptive,3.61,0.95,Continue,0
P001,adaptive,4.09,0.69,Slow Down,0
P001,adaptive,4.31,0.83,Continue,0
P001,adaptive,4.48,0.85,Continue,0
P001,adaptive,4.65,0.85,Continue,0
P001,adaptive,4.81,0.84,Continue,0
P001,adaptive,4.97,0.79,Continue,0
P001,adaptive,5.13,0.86,Continue,0
P001,adaptive,5.28,0.81,Continue,0
P001,adaptive,5.64,0.8,Continue,0
P001,adaptive,5.81,0.82,Continue,0
P001,adaptive,5.97,0.78,Continue,0
P001,adaptive,6.14,0.8,Continue,0
P001,adaptive,6.31,0.79,Continue,0
P001,adaptive,6.46,0.82,Continue,0
P001,adaptive,6.61,0.81,Continue,0
P001,adaptive,6.77,0.78,Continue,0
P001,adaptive,6.92,0.82,Continue,0
P001,adaptive,7.08,0.81,Continue,0
P001,adaptive,7.23,0.83,Continue,0
P001,adaptive,7.39,0.83,Continue,0
P001,adaptive,7.55,0.8,Continue,0
P001,adaptive,7.7,0.83,Continue,0
P001,adaptive,7.86,0.83,Continue,0
P001,adaptive,8.02,0.8,Continue,0
P001,adaptive,8.18,0.82,Continue,0
P001,adaptive,8.33,0.82,Continue,0
P001,adaptive,8.49,0.81,Continue,0
P001,adaptive,8.64,0.81,Continue,0
P001,adaptive,8.79,0.77,Continue,0
P001,adaptive,8.94,0.82,Continue,0
P001,adaptive,9.1,0.8,Continue,0
P001,adaptive,9.24,0.82,Continue,0
P001,adaptive,9.41,0.83,Continue,0
P001,adaptive,9.55,0.86,Continue,0
P001,adaptive,9.71,0.81,Continue,0
P001,adaptive,9.87,0.84,Continue,0
P001,adaptive,10.03,0.83,Continue,0
P001,adaptive,10.19,0.85,Continue,0
P001,adaptive,10.35,0.84,Continue,0
P001,adaptive,10.51,0.88,Continue,0
P001,adaptive,10.66,0.81,Continue,0
P001,adaptive,10.83,0.83,Continue,0
P001,adaptive,10.99,0.75,Continue,0
P001,adaptive,11.15,0.75,Continue,0
P001,adaptive,11.31,0.79,Continue,0
P001,adaptive,11.46,0.8,Continue,0
P001,adaptive,11.62,0.79,Continue,0
P001,adaptive,11.77,0.81,Continue,0
P001,adaptive,11.92,0.82,Continue,0
P001,adaptive,12.08,0.82,Continue,0
P001,adaptive,12.24,0.82,Continue,0
P001,adaptive,12.39,0.8,Continue,0
P001,adaptive,12.55,0.85,Continue,0
P001,adaptive,12.7,0.81,Continue,0
P001,adaptive,12.86,0.82,Continue,0
P001,adaptive,13.02,0.79,Continue,0
P001,adaptive,13.17,0.79,Continue,0
P001,adaptive,13.33,0.86,Continue,0
P001,adaptive,13.49,0.86,Continue,0
P001,adaptive,13.65,0.84,Continue,0
P001,adaptive,13.81,0.83,Continue,0
P001,adaptive,13.96,0.81,Continue,0
P001,adaptive,14.12,0.8,Continue,0
P001,adaptive,14.27,0.84,Continue,0
P001,adaptive,14.43,0.83,Continue,0
P001,adaptive,14.6,0.84,Continue,0
P001,adaptive,14.75,0.83,Continue,0
P001,adaptive,14.91,0.85,Continue,0
P001,adaptive,15.06,0.83,Continue,0
P001,adaptive,15.22,0.82,Continue,0
P001,adaptive,15.38,0.77,Continue,0
P001,adaptive,15.55,0.77,Continue,0
P001,adaptive,15.7,0.82,Continue,0
P001,adaptive,15.86,0.84,Continue,0
P001,adaptive,16.01,0.87,Continue,0
P001,adaptive,16.18,0.84,Continue,0
P001,adaptive,16.34,0.82,Continue,0
P001,adaptive,16.5,0.82,Continue,0
P001,adaptive,16.65,0.83,Continue,0
P001,adaptive,16.8,0.83,Continue,0
P001,adaptive,16.97,0.83,Continue,0
P001,adaptive,17.12,0.83,Continue,0
P001,adaptive,17.29,0.85,Continue,0
P001,adaptive,17.45,0.85,Continue,0
P001,adaptive,17.61,0.86,Continue,0
P001,adaptive,17.76,0.82,Continue,0
P001,adaptive,17.92,0.85,Continue,0
P001,adaptive,18.06,0.84,Continue,0
P001,adaptive,18.22,0.85,Continue,0
P001,adaptive,18.39,0.82,Continue,0
P001,adaptive,18.55,0.84,Continue,0
P001,adaptive,18.7,0.84,Continue,0
P001,adaptive,18.87,0.82,Continue,0
P001,adaptive,19.04,0.82,Continue,0
P001,adaptive,19.18,0.83,Continue,0
P001,adaptive,19.35,0.88,Continue,0
P001,adaptive,19.81,0.85,Continue,0
P001,adaptive,19.97,0.86,Continue,0
P001,adaptive,20.12,0.84,Continue,0
P001,adaptive,20.28,0.84,Continue,0
P001,adaptive,20.43,0.88,Continue,0
P001,adaptive,20.58,0.84,Continue,0
P001,adaptive,20.74,0.86,Continue,0
P001,adaptive,21.08,0.83,Continue,0
P001,adaptive,21.24,0.79,Continue,0
P001,adaptive,21.4,0.84,Continue,0
P001,adaptive,21.55,0.86,Continue,0
P001,adaptive,21.7,0.83,Continue,0
P001,adaptive,21.85,0.81,Continue,0
P001,adaptive,22.01,0.82,Continue,0
P001,adaptive,22.18,0.82,Continue,0
P001,adaptive,22.35,0.83,Continue,0
P001,adaptive,22.52,0.8,Continue,0
P001,adaptive,22.68,0.81,Continue,0
P001,adaptive,22.84,0.83,Continue,0
P001,adaptive,22.99,0.83,Continue,0
P001,adaptive,23.15,0.83,Continue,0
P001,adaptive,23.31,0.84,Continue,0
P001,adaptive,23.46,0.81,Continue,0
P001,adaptive,23.62,0.82,Continue,0
P001,adaptive,23.77,0.8,Continue,0
P001,adaptive,23.93,0.8,Continue,0
P001,adaptive,24.1,0.84,Continue,0
P001,adaptive,24.25,0.8,Continue,0
P001,adaptive,24.42,0.82,Continue,0
P001,adaptive,24.57,0.84,Continue,0
P001,adaptive,24.72,0.82,Continue,0
P001,adaptive,24.89,0.81,Continue,0
P001,adaptive,25.05,0.83,Continue,0
P001,adaptive,25.21,0.86,Continue,0
P001,adaptive,25.36,0.84,Continue,0
P001,adaptive,25.52,0.82,Continue,0
P001,adaptive,25.7,0.87,Continue,0
P001,adaptive,25.86,0.83,Continue,0
P001,adaptive,26.02,0.87,Continue,0
P001,adaptive,26.19,0.84,Continue,0
P001,adaptive,26.35,0.8,Continue,0
P001,adaptive,26.5,0.86,Continue,0
P001,adaptive,26.66,0.84,Continue,0
P001,adaptive,26.81,0.85,Continue,0
P001,adaptive,26.97,0.8,Continue,0
P001,adaptive,27.12,0.82,Continue,0
P001,adaptive,27.28,0.82,Continue,0
P001,adaptive,27.43,0.8,Continue,0
P001,adaptive,27.6,0.82,Continue,0
P001,adaptive,27.77,0.8,Continue,0
P001,adaptive,27.94,0.84,Continue,0
P001,adaptive,28.11,0.78,Continue,0
P001,adaptive,28.28,0.83,Continue,0
P001,adaptive,28.43,0.81,Continue,0
P001,adaptive,28.6,0.87,Continue,0
P001,adaptive,28.76,0.81,Continue,0
P001,adaptive,28.93,0.79,Continue,0
P001,adaptive,29.08,0.8,Continue,0
P001,adaptive,29.24,0.84,Continue,0
P001,adaptive,29.4,0.82,Continue,0
P001,adaptive,29.55,0.8,Continue,0
P001,adaptive,29.71,0.82,Continue,0
P001,adaptive,29.87,0.81,Continue,0
P001,adaptive,30.02,0.85,Continue,0
P001,adaptive,30.19,0.85,Continue,0
P001,adaptive,30.34,0.82,Continue,0
P001,adaptive,30.5,0.82,Continue,0
P001,adaptive,30.66,0.84,Continue,0
P001,adaptive,30.82,0.83,Continue,0
P001,adaptive,30.96,0.83,Continue,0
P001,adaptive,31.12,0.81,Continue,0
P001,adaptive,31.28,0.86,Continue,0
P001,adaptive,31.44,0.81,Continue,0
P001,adaptive,31.59,0.84,Continue,0
P001,adaptive,31.75,0.81,Continue,0
P001,adaptive,31.9,0.82,Continue,0
P001,adaptive,32.07,0.83,Continue,0
P001,adaptive,32.22,0.83,Continue,0
P001,adaptive,32.37,0.81,Continue,0
P001,adaptive,32.53,0.83,Continue,0
P001,adaptive,32.69,0.76,Continue,0
P001,adaptive,32.84,0.83,Continue,0
P001,adaptive,33.0,0.82,Continue,0
P001,adaptive,33.15,0.81,Continue,0
P001,adaptive,33.32,0.76,Continue,0
P001,adaptive,33.48,0.8,Continue,0
P001,adaptive,33.64,0.8,Continue,0
P001,adaptive,33.79,0.82,Continue,0
P001,adaptive,33.95,0.76,Continue,0
P001,adaptive,34.11,0.79,Continue,0
P001,adaptive,34.57,0.82,Continue,0
P001,adaptive,34.73,0.81,Continue,0
P001,adaptive,34.88,0.82,Continue,0
P001,adaptive,35.04,0.82,Continue,0
P001,adaptive,35.2,0.8,Continue,0
P001,adaptive,35.34,0.82,Continue,0
P001,adaptive,35.51,0.84,Continue,0
P001,adaptive,35.68,0.82,Continue,0
P001,adaptive,35.83,0.83,Continue,0
P001,adaptive,35.98,0.81,Continue,0
