participant_id,mode,timestamp,attention_score,action,low_streak
P001,baseline,0.36,0.95,Baseline,0
P001,baseline,0.79,0.85,Baseline,0
P001,baseline,0.96,0.93,Baseline,0
P001,baseline,1.11,0.91,Baseline,0
P001,baseline,1.27,0.86,Baseline,0
P001,baseline,1.44,0.89,Baseline,0
P001,baseline,1.6,0.89,Baseline,0
P001,baseline,1.77,0.79,Baseline,0
P001,baseline,1.93,0.86,Baseline,0
P001,baseline,2.1,0.85,Baseline,0
P001,baseline,2.25,0.79,Baseline,0
P001,baseline,2.4,0.9,Baseline,0
P001,baseline,2.56,0.82,Baseline,0
P001,baseline,2.71,0.84,Baseline,0
P001,baseline,2.87,0.82,Baseline,0
P001,baseline,3.02,0.82,Baseline,0
P001,baseline,3.18,0.85,Baseline,0
P001,baseline,3.34,0.89,Baseline,0
P001,baseline,3.5,0.9,Baseline,0
P001,baseline,3.66,0.93,Baseline,0
P001,baseline,3.81,0.87,Baseline,0
P001,baseline,3.98,0.86,Baseline,0
P001,baseline,4.13,0.84,Baseline,0
P001,baseline,4.28,0.9,Baseline,0
P001,baseline,4.45,0.83,Baseline,0
P001,baseline,4.61,0.86,Baseline,0
P001,baseline,4.77,0.82,Baseline,0
P001,baseline,4.92,0.68,Baseline,0
P001,baseline,5.08,0.66,Baseline,0
P001,baseline,5.24,0.64,Baseline,0
P001,baseline,5.4,0.66,Baseline,0
P001,baseline,5.57,0.66,Baseline,0
P001,baseline,5.72,0.68,Baseline,0
P001,baseline,5.88,0.63,Baseline,0
P001,baseline,6.05,0.66,Baseline,0
P001,baseline,6.21,0.72,Baseline,0
P001,baseline,6.38,0.85,Baseline,0
P001,baseline,6.55,0.86,Baseline,0
P001,baseline,6.7,0.76,Baseline,0
P001,baseline,6.85,0.86,Baseline,0
P001,baseline,7.02,0.86,Baseline,0
P001,baseline,7.19,0.89,Baseline,0
P001,baseline,7.34,0.83,Baseline,0
P001,baseline,7.5,0.73,Baseline,0
P001,baseline,7.66,0.86,Baseline,0
P001,baseline,7.8,0.85,Baseline,0
P001,baseline,7.97,0.83,Baseline,0
P001,baseline,8.12,0.76,Baseline,0
P001,baseline,8.27,0.87,Baseline,0
P001,baseline,8.44,0.8,Baseline,0
P001,baseline,8.59,0.93,Baseline,0
P001,baseline,8.74,0.94,Baseline,0
P001,baseline,8.9,0.91,Baseline,0
P001,baseline,9.07,0.95,Baseline,0
P001,baseline,9.24,0.9,Baseline,0
P001,baseline,9.39,0.88,Baseline,0
P001,baseline,9.55,0.83,Baseline,0
P001,baseline,9.71,0.92,Baseline,0
P001,baseline,9.86,0.87,Baseline,0
P001,baseline,10.02,0.87,Baseline,0
P001,baseline,10.17,0.91,Baseline,0
P001,baseline,10.33,0.95,Baseline,0
P001,baseline,10.49,0.88,Baseline,0
P001,baseline,10.66,0.85,Baseline,0
P001,baseline,10.81,0.74,Baseline,0
P001,baseline,10.96,0.73,Baseline,0
P001,baseline,11.12,0.74,Baseline,0
P001,baseline,11.28,0.66,Baseline,0
P001,baseline,11.45,0.71,Baseline,0
P001,baseline,11.6,0.67,Baseline,0
P001,baseline,11.76,0.66,Baseline,0
P001,baseline,11.93,0.65,Baseline,0
P001,baseline,12.09,0.77,Baseline,0
P001,baseline,12.24,0.67,Baseline,0
P001,baseline,12.4,0.71,Baseline,0
P001,baseline,12.55,0.59,Baseline,0
P001,baseline,12.71,0.64,Baseline,0
P001,baseline,12.87,0.63,Baseline,0
P001,baseline,13.02,0.65,Baseline,0
P001,baseline,13.17,0.65,Baseline,0
P001,baseline,13.33,0.75,Baseline,0
P001,baseline,13.48,0.76,Baseline,0
P001,baseline,13.65,0.58,Baseline,0
P001,baseline,13.82,0.77,Baseline,0
P001,baseline,13.99,0.78,Baseline,0
P001,baseline,14.14,0.9,Baseline,0
P001,baseline,14.59,0.85,Baseline,0
P001,baseline,14.74,0.78,Baseline,0
P001,baseline,14.91,0.87,Baseline,0
P001,baseline,15.09,0.87,Baseline,0
P001,baseline,15.25,0.81,Baseline,0
P001,baseline,15.4,0.8,Baseline,0
P001,baseline,15.56,0.89,Baseline,0
P001,baseline,15.72,0.9,Baseline,0
P001,baseline,15.89,0.9,Baseline,0
P001,baseline,16.04,0.91,Baseline,0
P001,baseline,16.19,0.86,Baseline,0
P001,baseline,16.35,0.84,Baseline,0
P001,baseline,16.51,0.88,Baseline,0
P001,baseline,16.67,0.89,Baseline,0
P001,baseline,16.82,0.86,Baseline,0
P001,baseline,16.98,0.84,Baseline,0
P001,baseline,17.14,0.84,Baseline,0
P001,baseline,17.3,0.85,Baseline,0
P001,baseline,17.47,0.88,Baseline,0
P001,baseline,17.62,0.87,Baseline,0
P001,baseline,17.78,0.91,Baseline,0
P001,baseline,17.93,0.86,Baseline,0
P001,baseline,18.09,0.72,Baseline,0
P001,baseline,18.26,0.73,Baseline,0
P001,baseline,18.43,0.6799999999999999,Baseline,0
